"en/layout","search_screen_reader","Искать"
"en/layout","search","Поиск"
"en/notification/views","hi","Привет"
"en/notification/views","click_above_link_to_answer","Чтобы ответить, пройдите по ссылке"
"en/notification/views","you_got_new_questionnaire","Вы получили новый вопросник"
"en/profile/views","change_password","Изменить пароль"
"en/profile/views","dear","Дорогой/ая"
"en/profile/views","please_update_profile","Просьба обновить профиль (обязательные поля отмеченны:)"
"en/questionnaire_answer/views","please_select_one_of_the_options","Выберите одну из возможностей"
"en/questionnaire_answer/views","all_fields_are_required","Следует заполнить все поля!"
"en/questionnaire_answer/controller","was_success","Заполнение вопросника успешно завершено"
"en/questionnaire_answer/controller","no_questionnaire_please_answer_a_new_one","Такого вопросника не существует. Просьба ответить на новый вопросник"
"en/questionnaire_answer/controller","already_answered_please_answer_a_new_one","Вы уже ответили на запрошенный Вами вопросник. Просьба ответить на новый "
"en/questionnaire_answer/controller","no_success","Заполнение вопросника завершилось с ошибкой"
"en/questionnaire_answer/controller","already_answered","Вы уже ответили на этот вопросник"
"en/questionnaire_answer/controller","no_questionnaire","Такого вопросника не существует."
"en/admin/reports","report",
"en/admin/reports","export_to_excel","Скачать в формате Excel"
"en/admin/reports","show_only_confirmed_users","Показать только подтвержденных пользователей"
"en/admin/reports","from","От"
"en/admin/reports","to","К"
"en/admin/reports","date_range","Просьба выбрать даты"
"en/admin/reports","user_activities","Отчет о деятельности пользователя"
"en/admin/reports","display_also_profile","Также показать и профиль"
"en/admin/reports","users_who_signed_in","Пользователи, вошедшие в систему"
"en/admin/reports","users_who_answered_questionnaires","Пользователи, ответившие на вопросники"
"en/admin/reports","users_who_not_signed_in","Пользователи, не вошедшие в систему"
"en/admin/reports","user","Пользователь"
"en/admin/reports","generate_report","Создать отчет"
"en/errors/messages","not_locked","не был заблокирован"
"en/errors/messages","not_found","не найдено"
"en/errors/messages","already_confirmed","уже подтвержден"
"en/views","back","Назад"
"en/views","submit",
"en/views","update","Обновить"
"en/views","signout","Выйти"
"en/devise/failure","unauthenticated","Перед тем, как продолжить, следует войти в систему или зарегистрироваться"
"en/devise/failure","timeout","Время существования сессии истекло. Просьба снова войти в систему"
"en/devise/failure","invalid","Неправильный е-мейл адресс или пароль"
"en/devise/failure","inactive","Ваш аккаунт еще не был активизирован"
"en/devise/failure","unconfirmed","Вы должны подтвердить свой аккаунт."
"en/devise/failure","invalid_token",
"en/devise/failure","locked","Ваш аккаунт заблокирован"
"en/devise/passwords","send_instructions","В течении нескольких минут Вы получите е-мейл, содержащий инструкции по обновлению Вашего пароля."
"en/devise/passwords","updated","Ваш пароль успешно заменен. Вы вошли в систему."
"en/devise/views","sign_up","Войти"
"en/devise/views","sign_in","Выйти"
"en/devise/views","forgot_password","Забыли пароль?"
"en/devise/views","remember_me","Запомнить"
"en/devise/views","resend_confirmation_instructions","Снова выслать инструкцию по подтверждению"
"en/devise/views","send_reset_password","Выслать инструкцию по обновлению пароля"
"en/devise/views","current_password","Нынешний пароль (это нужно для подтверждения изменений)"
"en/devise/views","confirm_new_password","Подтверждение пароля"
"en/devise/views","new_password","Новый пароль (не менее 6 символов)"
"en/devise/views","no_unlock_instructions","Вы не получили инструкцию по разблокировке аккаунта?"
"en/devise/views","resend_unlock_instructions","Снова выслать инструкцию по разблокировке"
"en/devise/views","no_confirmation_instructions","Вы не получили инструкцию по подтверждению аккаунта?"
"en/devise/views","password","Пароль"
"en/devise/views","email","Е-мейл"
"en/devise/mailer","unlock_instructions","Инструкция по разблокировке"
"en/devise/mailer","reset_password_instructions","Инструкция по обновлению пароля"
"en/devise/mailer","confirmation_instructions","Инструкция по подтверждению аккаунта"
"en/devise/unlocks","unlocked","Ваш аккаунт успешно разблокирован. Вы вошли в систему"
"en/devise/unlocks","send_instructions","В течении нескольких минут Вы получите е-мейл, содержащий инструкции по разблокировке Вашего аккаунта."
"en/devise/registrations","destroyed","Досвидания! Ваш аккаунт был успешно отменен. Надеемся увидеть Вас снова в скором времени."
"en/devise/registrations","updated","Вы успешно изменили свой аккаунт."
"en/devise/registrations","signed_up",
"en/devise/sessions","signed_out","Вы успешно вышли из системы"
"en/devise/sessions","signed_in","Вы успешно вошли в систему"
"en/devise/confirmations","confirmed","Ваш аккаунт успешно подтвержден. Вы вошли в систему"
"en/devise/confirmations","send_instructions","В течении нескольких минут Вы получите е-мейл, содержащий инструкции по подтверждению Вашего аккаунта."
"en/user/model","receive_notifications","Хотите ли Вы получать уведомления на свой е-мейл?"
"en/user/model","preferred_language","Язык"
"en/user/model","yes_answer","Да"
"en/user/model","female","Женский"
"en/user/model","gender","Пол"
"en/user/model","male","Мужской"
"en/user/model","birthday","Год рождения"
"en/user/model","no_answer","Нет"
"en/home/views","check_for_new_questionnaire","Проверить наличие новых вопросников"
"en/home/views","edit_profile","Изменить профиль"
"en/home/views","view_reports","Показать отчеты"
"en/answer/model","answer_too_short","Ответ слишком короткий. Минимальная длина ответа - 10 символов"
"en/answer/model","write_an_answer","Вы должны написать ответ"
"en/answer/model","select_at_least_one","Вы должны выбрать не менее одной возможности"
"en/answer/model","select_one_option","Вы должны выбрать одну из возможностей"
